"Input Size","Bubble Sort","Pancake Sort","Optimized Bubble Sort","Odd Even Sort","Cocktail Shaker","Gnome Sort","Selection Sort","Binary Insertion Sort","Insertion Sort","Double Selection Sort","Comb Sort","Shell Sort","Heap Sort","In Place Merge Sort","Merge Sort","Quick Sort"
"700","2.0","3.0","3.0","2.0","2.0","2.0","2.0","2.0","1.0","1.0","0.0","0.0","1.0","0.0","1.0","0.0"
"710","3.0","3.0","2.0","3.0","1.0","3.0","2.0","2.0","1.0","1.0","1.0","0.0","0.0","1.0","0.0","1.0"
"720","4.0","4.0","2.0","2.0","2.0","2.0","2.0","1.0","1.0","1.0","0.0","0.0","1.0","0.0","0.0","1.0"
"730","2.0","3.0","3.0","2.0","2.0","2.0","2.0","1.0","1.0","1.0","0.0","0.0","1.0","0.0","0.0","0.0"
"740","2.0","4.0","2.0","2.0","2.0","3.0","1.0","2.0","1.0","1.0","0.0","0.0","0.0","1.0","0.0","0.0"
"750","4.0","6.0","2.0","4.0","2.0","3.0","1.0","2.0","1.0","1.0","0.0","0.0","1.0","0.0","0.0","0.0"
"760","2.0","3.0","4.0","4.0","2.0","3.0","1.0","2.0","1.0","1.0","0.0","1.0","0.0","0.0","1.0","0.0"
"770","3.0","4.0","2.0","3.0","2.0","2.0","2.0","2.0","1.0","1.0","0.0","0.0","0.0","1.0","0.0","0.0"
"780","2.0","4.0","3.0","3.0","2.0","4.0","2.0","3.0","2.0","1.0","0.0","1.0","0.0","1.0","0.0","1.0"
"790","5.0","5.0","4.0","3.0","3.0","4.0","2.0","2.0","1.0","2.0","0.0","0.0","1.0","0.0","1.0","0.0"
"800","5.0","5.0","2.0","3.0","3.0","2.0","2.0","2.0","1.0","2.0","0.0","0.0","1.0","1.0","0.0","0.0"
"810","3.0","4.0","5.0","4.0","2.0","3.0","2.0","2.0","1.0","1.0","0.0","0.0","1.0","0.0","0.0","1.0"
"820","3.0","4.0","4.0","5.0","3.0","3.0","2.0","2.0","1.0","1.0","0.0","0.0","0.0","1.0","0.0","0.0"
"830","3.0","5.0","3.0","3.0","3.0","3.0","2.0","2.0","1.0","1.0","0.0","0.0","1.0","0.0","0.0","1.0"
"840","3.0","4.0","4.0","6.0","3.0","5.0","2.0","2.0","1.0","1.0","0.0","1.0","0.0","0.0","1.0","0.0"
"850","3.0","5.0","3.0","3.0","3.0","3.0","2.0","2.0","1.0","1.0","0.0","1.0","0.0","0.0","1.0","0.0"
"860","3.0","5.0","3.0","4.0","2.0","4.0","2.0","2.0","1.0","1.0","1.0","0.0","0.0","0.0","1.0","0.0"
"870","4.0","4.0","3.0","3.0","3.0","3.0","2.0","2.0","2.0","1.0","0.0","0.0","0.0","1.0","0.0","0.0"
"880","5.0","5.0","3.0","3.0","3.0","3.0","2.0","2.0","2.0","1.0","0.0","0.0","0.0","1.0","0.0","0.0"
"890","3.0","5.0","3.0","4.0","3.0","3.0","2.0","2.0","1.0","1.0","0.0","0.0","1.0","0.0","0.0","0.0"
"900","4.0","5.0","3.0","4.0","3.0","4.0","2.0","2.0","2.0","1.0","0.0","0.0","0.0","1.0","0.0","1.0"
"910","3.0","5.0","3.0","4.0","3.0","4.0","2.0","2.0","2.0","1.0","0.0","0.0","1.0","0.0","0.0","1.0"
"920","4.0","5.0","4.0","3.0","4.0","3.0","3.0","2.0","1.0","2.0","0.0","0.0","0.0","1.0","0.0","0.0"
"930","4.0","5.0","3.0","4.0","3.0","4.0","3.0","2.0","1.0","1.0","1.0","0.0","0.0","1.0","0.0","0.0"
"940","4.0","6.0","3.0","4.0","4.0","3.0","3.0","2.0","2.0","1.0","0.0","0.0","1.0","0.0","0.0","1.0"
"950","4.0","5.0","4.0","4.0","4.0","3.0","2.0","3.0","1.0","1.0","1.0","0.0","0.0","1.0","0.0","0.0"
"960","5.0","5.0","5.0","5.0","3.0","6.0","3.0","2.0","2.0","1.0","0.0","1.0","0.0","0.0","1.0","0.0"
"970","4.0","6.0","4.0","4.0","3.0","4.0","3.0","3.0","1.0","2.0","0.0","0.0","0.0","1.0","0.0","0.0"
"980","4.0","6.0","4.0","4.0","4.0","4.0","3.0","2.0","1.0","2.0","0.0","0.0","0.0","2.0","0.0","0.0"
"990","5.0","6.0","4.0","4.0","4.0","4.0","3.0","5.0","3.0","1.0","0.0","1.0","0.0","0.0","1.0","0.0"
"1000","5.0","7.0","4.0","4.0","4.0","4.0","3.0","2.0","2.0","1.0","1.0","0.0","0.0","1.0","0.0","0.0"
